CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
232821063,12/07/2018,15:48:00,,,114.0,12/07/2019,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,QUEENS,,STREET,N.Y. STATE POLICE,11.0,,,,1006767.0,220212.0,25-44,BLACK,M,,40.771086981000046,-73.91870826099995,"(40.771086981000046, -73.91870826099995)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,E
973842421,09/13/2016,11:15:00,09/13/2016,11:15:00,41.0,09/13/2016,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,OTHER,DEPT OF CORRECTIONS,72.0,,,,,,25-44,UNKNOWN,M,,,,,PATROL BORO BRONX,,UNKNOWN,UNKNOWN,F
807456815,12/06/2019,13:30:00,,,103.0,12/06/2019,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,,,1042290.0,197554.0,25-44,BLACK,M,,40.70873471300007,-73.79065530299994,"(40.70873471300007, -73.79065530299994)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,F
421506563,12/06/2019,03:00:00,12/06/2019,03:40:00,40.0,12/06/2019,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1006075.0,236932.0,,,,,40.81698058400008,-73.92115225499998,"(40.81698058400008, -73.92115225499998)",PATROL BORO BRONX,,25-44,BLACK,M
333083961,12/04/2019,17:00:00,12/04/2019,17:30:00,109.0,12/06/2019,351,CRIMINAL MISCHIEF & RELATED OF,258.0,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0.0,,,,1034225.0,210601.0,,,,,40.74459471000005,-73.81964820599995,"(40.74459471000005, -73.81964820599995)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,E
830490893,12/05/2019,20:00:00,12/05/2019,21:00:00,45.0,12/05/2019,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1030734.0,259831.0,UNKNOWN,BLACK,M,,40.87973613900005,-73.83190581399998,"(40.87973613900005, -73.83190581399998)",PATROL BORO BRONX,,25-44,BLACK,M
210375089,12/05/2019,14:20:00,,,46.0,12/05/2019,117,DANGEROUS DRUGS,515.0,"CONTROLLED SUBSTANCE,SALE 3",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1009886.0,250359.0,45-64,BLACK,M,,40.85382356700006,-73.90733259799998,"(40.85382356700006, -73.90733259799998)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
501081350,12/04/2019,22:00:00,12/05/2019,11:00:00,105.0,12/05/2019,341,PETIT LARCENY,349.0,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,QUEENS,REAR OF,STREET,N.Y. POLICE DEPT,0.0,,,,1056797.0,184358.0,,,,,40.67240783700005,-73.73847197099997,"(40.672407837000044, -73.73847197099997)",PATROL BORO QUEENS SOUTH,,45-64,BLACK,M
988494161,04/01/1974,00:00:00,08/01/1974,00:00:00,20.0,12/05/2019,104,RAPE,155.0,RAPE 2,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,,,991168.0,224929.0,65+,WHITE,M,,40.78405987400004,-73.97502051299993,"(40.784059874000036, -73.97502051299993)",PATROL BORO MAN NORTH,,45-64,WHITE,F
366412979,12/04/2019,01:35:00,,,47.0,12/04/2019,118,DANGEROUS WEAPONS,792.0,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,1025933.0,269413.0,18-24,BLACK,M,,40.90605963600007,-73.84920752799998,"(40.90605963600007, -73.84920752799998)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
