CMPLNT_NUM,ADDR_PCT_CD,KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,CMPLNT_FR_TIMESTAMP,CMPLNT_TO_TIMESTAMP,RPT_TIMESTAMP
180014272,45.0,341,339.0,COMPLETED,MISDEMEANOR,BRONX,INSIDE,BAR/NIGHT CLUB,,OTHER,OTHER,40.82650690600008,-73.82202055499994,25-44,BLACK,MALE,2019-03-31 03:00:00,,2019-04-02 00:00:00
149100632,46.0,341,338.0,COMPLETED,MISDEMEANOR,BRONX,INSIDE,,,OTHER,OTHER,40.85645238600006,-73.91003290799993,25-44,BLACK,FEMALE,2019-03-29 13:40:00,,2019-04-02 00:00:00
187986575,30.0,105,386.0,COMPLETED,FELONY,MANHATTAN,,STREET,25-44,BLACK,MALE,40.82451802100008,-73.95185554399995,25-44,OTHER,MALE,2019-04-01 22:10:00,2019-04-01 22:17:00,2019-04-01 00:00:00
336838699,47.0,341,321.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,,OTHER,OTHER,40.88063207700003,-73.84046322899997,65+,BLACK,MALE,2019-03-31 18:00:00,2019-03-31 18:30:00,2019-04-01 00:00:00
609631155,73.0,113,729.0,COMPLETED,FELONY,BROOKLYN,,STREET,,OTHER,OTHER,40.67994376600007,-73.91388360799994,UNKNOWN,OTHER,OTHER,2019-03-31 16:50:00,,2019-03-31 00:00:00
236731713,84.0,341,338.0,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,UNKNOWN,BLACK,MALE,40.69004267200007,-73.98378925599997,45-64,WHITE,FEMALE,2019-03-31 14:40:00,,2019-03-31 00:00:00
292049931,106.0,578,637.0,COMPLETED,VIOLATION,QUEENS,INSIDE,COMMERCIAL BUILDING,45-64,BLACK,MALE,,,45-64,WHITE,MALE,2006-04-16 18:45:00,,2006-04-17 00:00:00
909116598,49.0,341,321.0,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,,OTHER,OTHER,40.86750308300003,-73.84570472399997,45-64,BLACK,MALE,2019-03-29 18:00:00,2019-03-30 12:00:00,2019-03-30 00:00:00
483948600,28.0,235,511.0,COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,STREET,45-64,BLACK,MALE,40.79999855900007,-73.95661566299998,UNKNOWN,OTHER,OTHER,2019-03-29 20:03:00,2019-03-29 21:12:00,2019-03-29 00:00:00
109325990,43.0,112,739.0,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,OTHER,MALE,40.83183174900006,-73.86925057099995,45-64,BLACK HISPANIC,MALE,2019-03-28 16:40:00,,2019-03-29 00:00:00
203373243,9.0,341,313.0,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BANK,UNKNOWN,ASIAN / PACIFIC ISLANDER,OTHER,40.73103081900008,-73.98883427899995,65+,WHITE,FEMALE,2019-03-24 20:00:00,,2019-03-29 00:00:00
804100920,103.0,113,729.0,COMPLETED,FELONY,QUEENS,,STREET,,OTHER,OTHER,40.69305847900005,-73.79943846599997,UNKNOWN,OTHER,OTHER,2019-03-28 17:00:00,2019-03-28 17:10:00,2019-03-28 00:00:00
921363832,108.0,578,638.0,COMPLETED,VIOLATION,QUEENS,FRONT OF,STREET,,OTHER,OTHER,40.74245430100007,-73.91194430499998,25-44,WHITE,MALE,2019-03-27 18:30:00,2019-03-27 18:30:00,2019-03-28 00:00:00
376410681,121.0,578,638.0,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,CHAIN STORE,,OTHER,OTHER,40.582301992000055,-74.16893609499994,<18,WHITE,FEMALE,2019-03-27 15:20:00,2019-03-27 15:40:00,2019-03-27 00:00:00
829654435,40.0,126,640.0,COMPLETED,FELONY,BRONX,FRONT OF,OTHER,,OTHER,OTHER,40.80806113500005,-73.92248131399998,UNKNOWN,OTHER,MALE,2019-03-27 14:30:00,2019-03-27 15:00:00,2019-03-27 00:00:00
409359188,34.0,101,,COMPLETED,FELONY,,OUTSIDE,,25-44,WHITE HISPANIC,MALE,40.85170536100002,-73.93199489299997,45-64,WHITE HISPANIC,MALE,2019-03-27 13:43:00,,2019-03-27 00:00:00
100209510,70.0,101,,COMPLETED,FELONY,,OUTSIDE,,25-44,BLACK,MALE,40.637284793,-73.952383355,25-44,BLACK,MALE,2015-04-27 20:27:00,,2015-04-27 00:00:00
572486846,46.0,106,106.0,COMPLETED,FELONY,BRONX,INSIDE,OTHER,,OTHER,OTHER,40.85358740100002,-73.90059135599995,UNKNOWN,OTHER,OTHER,2019-03-27 03:48:00,2019-03-27 03:49:00,2019-03-27 00:00:00
136609663,106.0,107,221.0,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,UNKNOWN,OTHER,OTHER,40.67377358600004,-73.82280305999996,25-44,WHITE HISPANIC,MALE,2019-03-26 16:30:00,2019-03-26 19:00:00,2019-03-26 00:00:00
185696430,45.0,341,338.0,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE-HOUSE,,OTHER,OTHER,40.84905058000004,-73.83586898899993,18-24,WHITE,MALE,2019-03-25 12:51:00,2019-03-25 18:00:00,2019-03-26 00:00:00
996963603,112.0,104,157.0,COMPLETED,FELONY,QUEENS,INSIDE,HOTEL/MOTEL,45-64,OTHER,MALE,40.72236368700004,-73.85147389399998,45-64,ASIAN / PACIFIC ISLANDER,FEMALE,2017-09-03 18:00:00,,2019-03-26 00:00:00
615642208,44.0,344,101.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,25-44,BLACK,MALE,40.83058131100006,-73.93071199799994,25-44,BLACK,FEMALE,2019-03-24 18:15:00,,2019-03-24 00:00:00
